港澳台,#genre#
无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
无线新闻,http://v2hcdn.jdshipin.com/news/news.stream/chunklist_w1005.m3u8
无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
无线新闻,http://cdn9.163189.xyz/smt3.1.1.php?id=inews_twn
无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
无线新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbxw
无线新闻,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
无线新闻,http://php.jdshipin.com:8880/PLTV/iptv.php?id=tvbxw
无线新闻,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn

无线新闻,http://zsntlqj.xicp.net:8896/bysid/83.m3u8
无线新闻,http://live.cooltv.top/tv/tvb.php?id=2
无线新闻,http://live.cooltv.top/tv/tvb.php?id=0
无线新闻,http://live.cooltv.top/tv/tvb.php?id=6
无线新闻,https://tvb.860775.xyz/I-NEWS
无线新闻,http://ali.hlspull.yximgs.com/live/huanqiuhklivefhwjpthljjsjsjjbvdljdmnbjhdhyjyjtvbwxxw.flv
无线新闻,https://tvb.livednow.com/C
无线新闻,https://tvb.livednow.com/I-NEWS

无线新闻,http://vanguard110.com:30080/HK/wxxw/hls.m3u8
无线新闻,http://live.cooltv.top/tv/tvb.php?id=2
无线新闻,http://nz189l149.bb27109.ctm.net:8892/bysid/83
无线新闻,http://170.178.177.98:27347/livehttpplay?channel_id=30024 
无线新闻,http://170.178.177.98:27347/livehttpplay?channel_id=20123
无线新闻,http://1-65-195-085.static.netvigator.com:9981/stream/channelid/2051586642?profile=pass
无线新闻,https://myphp.jdshipin.com/api/tvb2024.php?id=2
无线新闻,http://tv.redrainl.site:5678/tvb.php?id=1&hq
无线新闻,http://r.jdshipin.com/CkuBd
无线新闻,https://tv.iill.top/tvb/4
无线新闻,https://s2.pub/Y-20
无线新闻,http://feng163.com:9001/bysid/83
无线新闻,https://edge6a.v2h-cdn.com/news/news.stream/chunklist.m3u8
无线新闻,http://bziyunshao.synology.me:8890/bysid/83
无线新闻,http://lttv.ddqq.fun:8085/tvb.php?id=0&hq
无线新闻,http://1.65.195.85:9981/stream/channelid/2051586642
无线新闻,http://1-65-195-085.static.netvigator.com:9981/stream/channelid/2051586642
无线新闻,http://hkct.qiyuevod.com:9981/stream/channelid/2051586642
无线新闻,http://sz.l68.fun:9001/bysid/83
无线新闻,http://170.178.177.98:42264/
无线新闻,http://108.181.20.177:27347/livehttpplay?channel_id=30024
无线新闻,http://108.181.20.177:27347/livehttpplay?channel_id=20123
无线新闻,http://107.167.12.58:27347/livehttpplay?channel_id=20123
无线新闻,http://zapi.eu.org/histar.php?id=tvb-news
无线新闻,http://pull-l3-cny.douyincdn.com/live/78625566800365445000YHTV.flv
无线新闻,http://51.89.21.73:27347/livehttpplay?channel_id=20123
无线新闻,http://andychuxdd.asuscomm.com:9981/stream/channelid/1793255727
无线新闻,http://link.sczhgx.com:59847/hls/82/index.m3u8
无线新闻,http://tb14876310104:59058@hktv.maoy.cc/stream/channelid/950745676
无线新闻,https://tb14876310104:59058@hk2.maoy.cc/stream/channelid/2017694124
无线新闻,http://113.88.97.132:9106/stream/channelid/858042437
无线新闻,http://203.218.232.199:9981/stream/channelid/168959014?ticket=5be55c3a11b7c78b72e1ac8a6c4cd81d40464ab5&profile=pass
无线新闻,http://www.nettvpro.live/hls/tvb.php?id=1
无线新闻,http://lan138.3322.org:9981/stream/channelid/1936554890
无线新闻,http://2874643631:qq183381@8bb.f3322.net:39993/stream/channelid/782365096
无线新闻,http://14.123.236.121:30002/bysid/83
无线新闻,http://116.48.15.232:9981/stream/channelid/1062239916
无线新闻,http://link.sczhgx.cn:20013/hls/81/index.m3u8
无线新闻,http://27.46.125.116:808/hls/81/index.m3u8
无线新闻,http://link.sczhgx.com:59845/hls/82/index.m3u8
无线新闻,http://shazui.8866.org:800/hls/82/index.m3u8
无线新闻,http://27.46.125.78:800/hls/82/index.m3u8
无线新闻,http://y3y4.f3322.net:2233/hls/89/index.m3u8
无线新闻,http://tvsharemjj.lymmmm.com:8001/bysid/83
无线新闻,http://061238006049.ctinets.com:8001/bysid/83
无线新闻,http://61.238.6.49:8001/bysid/83
无线新闻,http://knas2020.direct.quickconnect.to:9981/stream/channelid/99790626
无线新闻,http://knas2020.synology.me:9981/stream/channelid/99790626
无线新闻,http://223.17.122.230:9981/stream/channelid/804222044
无线新闻,http://xtv:1292@23.142.200.188:9981/stream/channelid/213479573
无线新闻,http://116.205.130.205:66/6/807tv.php?tid=gt&id=8
无线新闻,http://c-leung.homeip.net:8012/bysid/83
无线新闻,http://59.149.114.27:9981/stream/channelid/441235415
无线新闻,http://cnm3u8.3322.org:9080/hls/live/iNews/hls.m3u8
无线新闻,http://topway.tv888.top:9080/hls/live/iNews/hls.m3u8
无线新闻,http://prez.dontconfuse.us.koubaisya.com:9981/stream/channelid/1785821393
无线新闻,http://162.19.247.76:22222/live/tvbnews/index.m3u8
无线新闻,http://pull-l3-cny.douyincdn.com/live/I8NmAJdtvb632.m3u8
无线新闻,https://tv.iill.top/tvb/2

翡翠台2026,http://116.77.33.98:44330/tsfile/live/1008_1.m3u8
翡翠台2026,http://36.36.200.198:44330/tsfile/live/1008_1.m3u8
翡翠台2024,rtmp://27.223.28.254:40085/vlive/yifatvjade
翡翠台2024,http://cdn2.1689.us.kg/live/fct2/stream.m3u8
翡翠台2024,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台2024,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
翡翠台2024,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台2024,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
翡翠台2024,http://cdn2.1689.us.kg/live/live1.1.php?id=fct2
翡翠台2024,rtmp://27.223.28.254:40085/hls/yifatvgdfc
翡翠台2024,http://zsntlqj.xicp.net:8895/bysid/1.m3u8
翡翠台2024,http://58.250.155.2:8180/TV00000000000000000032@HHZT
翡翠台2024,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台2024,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
翡翠台2024,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
翡翠台2024,http://cdn5.1678520.xyz/live/j1/stream.m3u8
翡翠台2024,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
翡翠台2024,http://cdn5.1678520.xyz/live/fct/stream.m3u8
翡翠台2024,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
翡翠台2024,http://cdn2.1689.us.kg/live/gdfct/stream.m3u8
翡翠台2024,http://www.mytvsuper.us.kg/tvbts0.1.php?id=feicui4k
翡翠台2024,http://cdn2.1689.us.kg/live/live1.1.php?idhttp://php.jdshipin.com/TVOD/iptv.php?id=fct2=fct2
翡翠台2024,http://cdn.1678520.xyz/tvb/tvbts1.1.php?id=fct
翡翠台2024,http://cdn3.1678520.xyz/live/live1.1.php?id=fct2
翡翠台2024,http://60.246.171.122:8889/bysid/1
ViuTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
ViuTV,https://cdn3.163189.xyz/live/live1.1.php?id=viu
ViuTV,http://cdn12.1678520.xyz/live/viu/stream.m3u8
ViuTV,http://cdn12.1678520.xyz/live/viu2/stream.m3u8

ViuTV,http://php.jdshipin.com:8880/iptv.php?id=viutv
ViuTV,http://php.jdshipin.com:8880/PLTV/iptv.php?id=viutv
ViuTV,http://cdn12.1678520.xyz/live/live1.1.php?id=viu
ViuTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
ViuTV,https://aktv.132.us.kg/AKTV/live/aktv2/viutv99/AKTV.m3u8
ViuTV,http://cdn12.1678520.xyz/live/live1.1.php?id=viu2
ViuTV,https://test.zapi.us.kg/?id=viutv
  
ViuTV,http://nz189l149.bb27109.ctm.net:8892/bysid/99
ViuTV,http://m.glx008.com:8000/bysid/99
